"X","Occupancy","DmgFnId","Source","Description","depth","damage","depth_m","Floors","Basement","salt_water","duration","foundation","fema_zone"
1,"RES1","183","USACE - Wilmington","two story, pile foundation, structure",-4,0.03,-1.2192,2,0,NA,NA,"pile",NA
2,"RES1","184","USACE - Wilmington","two story, structure",-4,0,-1.2192,2,0,NA,NA,NA,NA
3,"RES1","105","FIA","one floor, no basement, structure, a-zone",-4,0,-1.2192,1,0,NA,NA,NA,"a-zone"
4,"RES1","106","FIA (MOD.)","one floor, w/ basement, structure, a-zone",-4,0.07,-1.2192,1,1,NA,NA,NA,"a-zone"
5,"RES1","115","FIA","two floors, no basement, structure, v-zone",-4,0,-1.2192,2,0,NA,NA,NA,"v-zone"
6,"RES1","185","USACE - Wilmington","two story w/ 1/2 living area below, structure",-4,0,-1.2192,2,0,NA,NA,NA,NA
7,"RES1","113","FIA","one floor, no basement, structure, v-zone",-4,0,-1.2192,1,0,NA,NA,NA,"v-zone"
8,"RES1","114","FIA (MOD.)","one floor, w/ basement, structure, v-zone",-4,0.07,-1.2192,1,1,NA,NA,NA,"v-zone"
9,"RES1","119","FIA","split level, no basement, structure, v-zone",-4,0,-1.2192,1,0,NA,NA,NA,"v-zone"
10,"RES1","116","FIA (MOD.)","two floors, w/ basement, structure, v-zone",-4,0.04,-1.2192,2,1,NA,NA,NA,"v-zone"
11,"RES1","117","FIA","three or more floors, no basement, structure, v-zone",-4,0,-1.2192,3,0,NA,NA,NA,"v-zone"
12,"RES1","118","FIA (MOD.)","three or more floors, w/ basement, structure, v-zone",-4,0.03,-1.2192,3,1,NA,NA,NA,"v-zone"
13,"RES1","21","FIA","one floor, no basement, contents, a-zone",-4,0,-1.2192,1,0,NA,NA,NA,"a-zone"
14,"RES1","111","FIA","split level, no basement, structure, a-zone",-4,0,-1.2192,1,0,NA,NA,NA,"a-zone"
15,"RES1","112","FIA (MOD.)","split level, w/ basement, structure, a-zone",-4,0.06,-1.2192,1,1,NA,NA,NA,"a-zone"
16,"RES1","24","FIA (MOD.)","two floors, w/ basement, contents, a-zone",-4,0,-1.2192,2,1,NA,NA,NA,"a-zone"
17,"RES1","25","FIA (MOD.)","three or more floors, no basement, contents, a-zone",-4,0,-1.2192,3,0,NA,NA,NA,"a-zone"
